,OPEN,HIGH,LOW,CLOSE,VOLUME,PE,MACD,SAR,RSI,BOLL,STD,WR,CCI,ROC
2005-01-04,5.22,5.31,5.17,5.27,10353811.0,13.646849109381629,0.03118686844385543,5.0446700799999995,80.31619418200455,5.071153846153846,1.1946088213216997,10.256410256410273,144.9358974359004,3.7401574803149504
2005-01-05,5.25,5.47,5.24,5.46,17589854.0,14.138860747101273,0.053777123113635916,5.0605898752,90.1413910158638,5.084230769230768,1.3691135864412443,1.81818181818178,190.65352318364333,7.480314960629919
2005-01-06,5.46,5.46,5.34,5.43,18421579.0,14.061174699040276,0.06847003348894987,5.093342685184,82.3527908602855,5.096153846153846,1.3774473371680136,7.272727272727282,154.71014492753622,10.141987829614605
2005-01-07,5.41,5.6,5.38,5.48,17722258.0,14.190651445808605,0.08318989166346658,5.12347527036928,84.95303466084727,5.110384615384614,1.3808737633076027,17.647058823529306,152.08228800802783,10.483870967741945
2005-01-10,5.48,5.55,5.43,5.45,7090192.999999999,14.112965397747608,0.09138134873280634,5.1711277433323515,76.80487856502805,5.12576923076923,1.359813400177235,22.38805970149246,123.1111111111107,7.072691552062875
2005-01-11,5.46,5.52,5.44,5.51,5939777.0,14.268337493869598,0.10154409887279847,5.214014968999116,81.14513274457138,5.142307692307693,1.3677708271782918,14.285714285714265,111.55334438916489,8.893280632411072
2005-01-12,5.55,5.56,5.42,5.53,7515555.0,14.32012819257693,0.1099446113884861,5.252613472099204,82.45810348908051,5.161923076923076,1.3329771364261727,12.068965517241274,96.97916666666704,9.072978303747533
2005-01-13,5.51,5.59,5.49,5.57,9159620.0,14.423709589991592,0.11846416265988413,5.287352124889284,84.97000024644062,5.1838461538461535,1.3248581959998034,5.172413793103337,99.74632166412935,9.645669291338587
2005-01-14,5.57,5.6,5.44,5.47,8384256.0,14.164756096454937,0.11581179784220552,5.317616912400355,59.43693720427296,5.205384615384616,1.324544973352757,22.413793103448253,70.54763000460177,7.2549019607843155
2005-01-17,5.43,5.48,5.38,5.44,9947885.0,14.087070048393944,0.11002077927744658,5.351502882912313,53.63481844696692,5.223846153846154,1.332075171553835,27.58620689655159,32.08179093953806,4.816955684007707
2005-01-18,5.41,5.5,5.39,5.46,5627855.0,14.138860747101273,0.10582530001129697,5.381322536962835,56.993395623740994,5.239615384615385,1.2988811168542649,25.925925925925863,33.619740030844305,3.9999999999999996
2005-01-19,5.45,5.51,5.36,5.38,4497717.0,13.93169795227195,0.09495049089951202,5.6,42.28938081315876,5.254230769230769,1.321037949749372,47.82608695652169,-0.19908987485771817,2.281368821292778
2005-01-20,5.36,5.48,5.33,5.42,5653645.0,14.035279349686611,0.08853916762504266,5.595199999999999,50.02531420090081,5.27,1.3238458087514515,41.86046511627903,-20.58823529411722,2.8462998102466863
2005-01-21,5.42,5.69,5.42,5.65,18082449.0,14.630872384820917,0.10085463608379097,5.33,74.03810012031498,5.295,1.526506679085118,7.6923076923076925,147.94156706507323,3.479853479853487
2005-01-24,5.7,5.81,5.62,5.76,19092117.0,14.915721227711233,0.11812909557615736,5.3372,79.64992982037225,5.321153846153847,1.5381385519793322,8.771929824561383,260.2564102564125,6.077348066298344
2005-01-25,5.75,5.8,5.66,5.76,12013278.0,14.915721227711233,0.13031701574167354,5.356112,79.64992982037225,5.347307692307693,1.5381385519793325,10.41666666666664,191.16465863453917,5.1094890510948785
2005-01-26,5.75,5.77,5.6,5.68,12362893.0,14.708558432881908,0.13199909546403887,5.37426752,64.94746880908147,5.376153846153846,1.4242575990368629,27.083333333333336,112.22729578894037,4.220183486238524
2005-01-27,5.61,5.75,5.6,5.65,7982014.999999999,14.630872384820917,0.1294195386030541,5.3916968192,59.966372584569285,5.402692307692307,1.4399333983752318,33.33333333333321,82.71691090951518,2.540834845735038
2005-01-28,5.65,5.71,5.62,5.66,5915730.0,14.65676773417458,0.126721372531307,5.408428946432,61.15795684824123,5.424615384615384,1.3750671645569879,31.24999999999992,67.99733865602248,2.3508137432188043
2005-01-31,5.65,5.72,5.59,5.68,5324413.0,14.708558432881908,0.12475874814425492,5.42409178857472,63.74764395517918,5.448461538461539,1.3597836623207857,27.083333333333336,58.484848484849174,1.9748653500897564
2005-01-31,5.65,5.72,5.59,5.68,5324413.0,14.708558432881908,0.12475874814425492,5.42409178857472,63.74764395517918,5.448461538461539,1.3597836623207857,27.083333333333336,58.484848484849174,1.9748653500897564
2005-02-01,5.7,5.77,5.63,5.71,6114486.0,14.786244480942905,0.12419248974249886,5.437928117031731,67.63211633528044,5.473076923076923,1.3588326192762266,20.83333333333328,73.09236947791226,4.387568555758688
2005-02-02,5.74,5.98,5.72,5.96,20308445.0,15.43362821478454,0.14227656091214858,5.451210992350462,84.37473140846957,5.506923076923076,1.5583761571868564,3.076923076923146,150.50841190608273,9.558823529411756
2005-02-03,5.96,6.12,5.88,5.9,24037321.0,15.278256118662549,0.15003728264435612,5.482938332809434,73.4350456963872,5.537692307692306,1.5906591964455998,27.84810126582275,164.67739145476537,8.058608058608066
