,OPEN,HIGH,LOW,CLOSE,VOLUME,PE,MACD,SAR,RSI,BOLL,STD,WR,CCI,ROC
2005-01-04,9.95,9.96,9.66,9.92,207933.0,12.65837244606337,-0.26386338681634847,10.37804367872,40.09943654636839,10.300384615384617,1.3308562535984303,48.57142857142854,-67.40293356341698,-2.073050345508399
2005-01-05,10.2,10.2,9.68,9.95,194738.0,12.696653814347835,-0.2522126731531795,10.3321219315712,43.156994419953385,10.262307692307694,1.2873855258105447,46.428571428571445,-30.099921410126388,-2.9268292682926895
2005-01-06,9.8,9.95,9.8,9.86,299204.0,12.581809709494438,-0.24738988981989074,10.28803705430835,36.45761553564643,10.227692307692307,1.2657283195101006,52.85714285714286,-47.25066363291626,-4.085603112840467
2005-01-07,9.91,10.15,9.84,10.03,830462.0000000001,12.798737463106411,-0.22723084430440998,10.260515572136017,52.99635889598153,10.2,1.3278501694684723,40.71428571428572,0.16103059581434537,-1.0848126232741735
2005-01-10,10.03,10.1,9.96,10.09,187000.0,12.875300199675342,-0.20406087024749908,10.236494949250575,57.663370253511694,10.175384615384617,1.3384112655189118,36.4285714285714,20.38709677419326,-3.5372848948374855
2005-01-11,10.09,10.17,9.9,9.94,315091.0,12.683893358253014,-0.19554808863314044,10.214235151280553,44.42919091688642,10.146538461538464,1.3608796818214048,47.14285714285714,7.650273224042881,-3.1189083820662797
2005-01-12,10.0,10.2,9.86,10.03,159935.0,12.798737463106411,-0.17947057496225582,10.2,52.30978207204014,10.124615384615385,1.3746081633651082,40.71428571428572,31.068983675618504,-0.7912957467853617
2005-01-13,10.04,10.09,9.92,10.06,194076.0,12.837018831390877,-0.16243582123193612,10.185599999999999,54.869779470685486,10.115000000000002,1.2762906823793714,37.226277372262736,45.329087048832776,0.7007007007007036
2005-01-14,10.09,10.15,9.91,10.0,500631.00000000006,12.760456094821945,-0.15202470852320182,10.172576,48.60759837892032,10.09846153846154,1.2537947588416203,25.925925925925863,59.06642728904872,0.3009027081243667
2005-01-17,9.8,10.05,9.65,9.9,394060.0,12.632851533873726,-0.15011258650327264,10.160072959999999,39.574481374586576,10.075769230769232,1.2551916602464683,29.999999999999893,-23.713646532437892,1.4344262295082026
2005-01-18,9.82,9.82,9.36,9.56,619014.0,12.19899602664978,-0.17402630758163795,10.1294685824,22.508300604306086,10.041923076923078,1.4049596549884147,65.97938144329892,-179.5918367346941,-2.4489795918367365
2005-01-19,9.48,9.53,9.3,9.43,546064.0,12.033110097417094,-0.20114929352529742,10.067911095808,18.790363973853225,10.006923076923076,1.4143415299045736,79.38144329896912,-212.8378378378374,-5.32128514056226
2005-01-20,9.21,9.38,9.2,9.37,289730.0,11.956547360848162,-0.224893521332719,9.9911199862272,17.21541689604446,9.975769230769231,1.3944822902306484,83.0,-202.37118103055116,-5.544354838709684
2005-01-21,9.23,9.8,9.2,9.79,641717.0,12.492486516830684,-0.20742938618089646,9.896185587879936,51.419226663835985,9.963076923076924,1.6793360778210755,41.000000000000014,-77.0334928229665,-1.6080402010050268
2005-01-24,9.89,9.99,9.6,9.88,571735.0,12.607330621684081,-0.1842033043818212,9.2,56.08489056742796,9.953461538461541,1.6911618356094706,31.99999999999985,-0.5602240896365389,0.2028397565923058
2005-01-25,9.7,9.88,9.7,9.79,345456.0,12.492486516830684,-0.1710865359707885,9.2158,50.28920228067777,9.93576923076923,1.6782489673488756,41.000000000000014,-8.2099518086276,-2.392821535393821
2005-01-26,9.75,9.95,9.7,9.91,379364.0,12.645611989968547,-0.14928751187700584,9.231284,57.342253453557,9.92153846153846,1.6982397177218609,28.999999999999915,13.879169582458818,-1.783944499504457
2005-01-27,9.8,9.93,9.8,9.91,139890.0,12.645611989968547,-0.1305072222094914,9.24645832,57.342253453557014,9.912692307692307,1.6795314903170693,28.999999999999915,27.023766437447676,-0.3018108651911404
2005-01-28,9.82,9.94,9.71,9.91,219616.0,12.645611989968547,-0.11430605825677276,9.2613291536,57.342253453557,9.891538461538461,1.5454027395174232,28.999999999999915,23.814984709480687,-1.1964107676969016
2005-01-31,9.62,9.98,9.55,9.65,250450.0,12.313840131503177,-0.12105094623390933,9.275102570528,37.44910315036643,9.868076923076924,1.582853136560577,54.99999999999989,-16.71258034894309,-4.07554671968191
2005-01-31,9.62,9.98,9.55,9.65,250450.0,12.313840131503177,-0.12105094623390933,9.275102570528,37.44910315036643,9.868076923076924,1.582853136560577,54.99999999999989,-16.71258034894309,-4.07554671968191
2005-02-01,9.8,9.84,9.65,9.76,127050.0,12.454205148546219,-0.11618097588854503,9.303298467706881,46.8162686825752,9.854615384615384,1.5836678641099176,41.05263157894738,7.468166892373387e-13,-2.400000000000002
2005-02-02,9.8,10.66,9.7,10.47,1119433.0,13.360197531278576,-0.05440329569330338,9.330366528998606,75.37679311228041,9.873076923076924,2.1311550339898306,13.013698630136943,194.76357952325054,5.75757575757576
2005-02-03,10.36,10.49,10.12,10.26,960023.0,13.092227953287315,-0.022134135475456063,9.41014453725869,63.309766330036275,9.88423076923077,2.173776578258327,27.397260273972613,175.7911015940993,7.322175732217566
2005-02-04,10.25,10.5,10.1,10.47,701209.0,13.360197531278576,0.020152347720582497,9.48513586502317,69.22237310513745,9.911538461538461,2.1551853062054365,13.013698630136943,158.13953488372064,11.0286320254507
2005-02-16,10.5,10.66,10.37,10.55,1537306.0,13.462281180037152,0.05943489327052198,9.55562771312178,71.33413753386108,9.940384615384614,2.1570768463017576,7.534246575342422,157.20164609053472,12.593383137673442
2005-02-17,10.49,10.54,10.2,10.5,383896.0,13.398478899563042,0.08554589171254534,9.621890050334473,67.84292592582898,9.961153846153847,2.1447791019492057,10.958904109589044,102.55223995681966,7.252298263534228
2005-02-18,10.38,10.53,10.35,10.46,269000.0,13.347437075183755,0.10183746152652517,9.684176647314406,64.79843617703312,9.981923076923076,2.144541572643875,13.698630136986246,91.74757281553426,5.870445344129555
2005-02-21,10.46,10.95,10.39,10.81,824225.0,13.794053038502522,0.14136119899871247,9.742726048475541,76.07278375945612,10.015000000000002,2.230254505180489,9.999999999999924,127.6628352490423,10.418794688457625
2005-02-22,10.68,11.06,10.68,10.98,589510.0,14.010980792114495,0.1842773899071375,9.839307964597499,79.83679674858985,10.058076923076923,2.227748187419876,5.298013245033118,141.06319500949286,10.797174571140266
2005-02-23,10.9,10.95,10.66,10.88,782187.0,13.883376231166276,0.2078239509902957,9.961377168137748,71.85752066326492,10.090769230769231,2.226834909966866,11.920529801324486,112.78340569223337,9.788092835519684
2005-02-24,10.92,10.99,10.65,10.68,1152551.0,13.628167109269837,0.2079493313148184,10.071239451323972,57.95580058167851,10.11346153846154,2.2663062854999487,25.16556291390734,89.77009069816519,7.769929364278502
2005-02-25,10.68,10.71,10.61,10.63,1056072.0,13.564364828795728,0.20168916682474602,10.170115506191575,54.77663661049852,10.139999999999999,2.2439059463000985,28.476821192052963,56.58320174449249,10.155440414507776
2005-02-28,10.6,10.6,10.22,10.35,2769100.0,13.207072058140714,0.1721498451664285,10.22,40.02310305393891,10.15230769230769,2.31094812224441,47.01986754966894,-10.847044485070077,6.045081967213113
2005-03-01,10.45,10.47,10.24,10.3,646072.0,13.143269777666603,0.14305607640089235,10.24,37.839188133685106,10.161538461538461,2.3139654029284595,53.900709219858136,-41.99999999999945,-1.6236867239732562
2005-03-02,10.31,10.35,9.99,10.09,1567740.0,12.875300199675342,0.10187940769398018,10.71,29.677458546717723,10.165,2.348757573329106,71.32352941176468,-122.06491712707228,-1.6569200779727087
2005-03-02,10.31,10.35,9.99,10.09,1567740.0,12.875300199675342,0.10187940769398018,10.71,29.677458546717723,10.165,2.348757573329106,71.32352941176468,-122.06491712707228,-1.6569200779727087
2005-03-03,10.1,10.1,9.95,10.0,1189238.0,12.760456094821945,0.06127797884732544,10.6956,26.714092637732367,10.168846153846154,2.3469013590996446,95.49549549549545,-146.78381256656021,-4.489016236867246
2005-03-04,9.99,10.06,9.84,9.95,1229250.0,12.696653814347835,0.02478081403758381,10.665776000000001,25.046772176721415,10.183846153846153,2.240030189869582,90.9836065573771,-145.7993791230113,-5.687203791469207
2005-03-07,9.95,10.01,9.9,9.99,1195122.0,12.747695638727123,-0.0009053500046682927,10.616229440000001,29.283868894123376,10.205384615384615,2.218206378515222,87.70491803278686,-119.87767584097851,-4.857142857142855
2005-03-08,10.03,10.24,9.99,10.2,1425809.0,13.015665216718384,-0.004267383371047373,10.569655673600002,47.85477620336439,10.237307692307693,2.2395830438919724,70.4918032786886,-64.67311638815632,-2.4856596558317547
2005-03-09,10.2,10.31,10.1,10.25,2213835.0,13.079467497192494,-0.002864219958713221,10.525876333184002,51.49425945461002,10.254999999999999,2.075842333719147,66.39344262295083,-40.768487191879736,-5.18038852913969
2005-03-10,10.25,10.25,9.68,9.81,3144145.0,12.518007429020328,-0.0368319498213161,10.484723753192961,29.644888768659456,10.252307692307692,2.2478364939825823,90.57971014492749,-95.9991109135363,-10.655737704918032
2005-03-11,9.75,9.85,9.69,9.79,908607.0,12.492486516830684,-0.06462054786385174,10.420345852937524,28.97430700514669,10.252307692307692,2.2406837812647034,92.02898550724642,-109.9699435525258,-10.018382352941192
2005-03-14,9.8,9.88,9.59,9.83,1385959.0,12.543528341209973,-0.08246494179616448,10.361118184702523,32.6316769532258,10.24923076923077,2.2288496641075524,82.85714285714285,-104.09908819494909,-7.958801498127338
2005-03-15,9.85,9.87,9.55,9.57,648300.0,12.211756482744601,-0.11624656163719571,10.284006366232271,23.280898731875237,10.236153846153845,2.2880608404867098,98.61111111111114,-118.84057971014491,-9.971777986829732
2005-03-16,9.48,9.6,9.2,9.21,1064982.0,11.752380063331012,-0.1701068442860123,10.1959256022844,15.77165698720592,10.20923076923077,2.397199814429952,99.33774834437075,-180.42599083310859,-11.014492753623177
2005-03-17,9.21,9.3,8.79,9.0,2236046.0,11.484410485339751,-0.22711866864863417,10.056496017964584,12.866580749699578,10.18423076923077,2.384531991522061,88.39779005524858,-209.57741882851968,-12.621359223300976
2005-03-18,8.96,9.09,8.82,9.05,882784.0,11.54821276581386,-0.2652092014837528,9.85385665509025,17.22292548659529,10.156923076923077,2.3737269035524524,84.52380952380945,-168.57584052783045,-10.307234886025759
2005-03-21,9.05,9.12,9.0,9.08,610920.0,11.586494134098325,-0.28963672206415936,9.68363959027581,20.09914102384524,10.103461538461538,1.8170744534726604,81.41025641025635,-121.54830454254673,-9.2
2005-03-22,9.08,9.1,8.82,8.96,872879.9999999999,11.433368660960463,-0.3150470390765694,9.54065725583168,17.22611287881108,10.05346153846154,1.7997257636117696,88.8157894736841,-112.93502313417821,-9.949748743718578
2005-03-23,8.9,9.03,8.9,8.94,616116.0,11.407847748770818,-0.33296056905407845,9.420552094898612,16.747330701962305,9.994615384615384,1.7245198601136207,90.13157894736841,-93.35571184995734,-10.510510510510517
2005-03-24,8.9,8.99,8.6,8.98,748879.0,11.458889573150106,-0.3400100803577768,9.324463759714835,21.95346710797706,9.934230769230767,1.715659632945931,77.77777777777774,-92.16835375599318,-11.96078431372548
2005-03-25,8.98,9.1,8.89,9.03,829601.0,11.522691853624217,-0.33766983901044334,9.194060282966165,28.646513475555768,9.877692307692307,1.7306174603227948,74.85380116959067,-61.140624999999936,-11.902439024390251
2005-03-28,9.07,9.12,8.91,9.08,360713.0,11.586494134098325,-0.3279996232652653,9.12,35.304258513200715,9.824615384615385,1.7442236377534888,71.92982456140349,-49.88308195954607,-7.441386340468912
2005-03-29,9.08,9.08,9.08,9.08,0.0,11.586494134098325,-0.3166853559633136,8.6,35.304258513200715,9.758076923076922,1.5607419588932139,70.90909090909089,-34.63989462067015,-7.25229826353421
2005-03-30,9.08,9.12,8.86,9.0,645593.0,11.484410485339751,-0.31059371798071744,8.6104,29.05752409533548,9.681923076923077,1.4932791495835434,68.75,-47.68989819890375,-8.44354018311292
2005-03-31,8.95,9.07,8.81,9.0,328822.0,11.484410485339751,-0.30228153759001586,8.620592,29.05752409533548,9.609615384615385,1.5000490668510602,68.75,-53.71816638370066,-5.956112852664579
2005-04-01,9.05,9.55,9.05,9.45,1280751.0,12.058631009606739,-0.2564269058014048,8.630580160000001,70.84412503285262,9.562307692307693,1.853302736706221,33.07086614173229,112.14470284237694,2.6058631921823934
2005-04-01,9.05,9.55,9.05,9.45,1280751.0,12.058631009606739,-0.2564269058014048,8.630580160000001,70.84412503285262,9.562307692307693,1.853302736706221,33.07086614173229,112.14470284237694,2.6058631921823934
2005-04-04,9.41,9.41,9.22,9.3,497539.99999999994,11.867224168184409,-0.22954448025988405,8.6673569536,57.33542063025572,9.511153846153846,1.8666178585973403,29.999999999999893,140.12327560904168,3.333333333333341
2005-04-05,9.23,9.3,8.93,9.05,495560.00000000006,11.54821276581386,-0.22580987927709728,8.702662675456,41.506376904567325,9.461153846153847,1.869125799312087,52.63157894736836,31.563636363635815,0.0
2005-04-06,8.9,9.23,8.9,9.15,1309775.0,11.675817326762079,-0.21233336991135765,8.73655616843776,48.350795326692065,9.416923076923077,1.8953988502959598,42.105263157894726,27.616347743916965,0.7709251101321617
2005-04-07,9.15,9.32,9.15,9.27,1497476.0,11.828942799899943,-0.18978244810160305,8.76909392170025,55.798574581119574,9.385384615384615,1.8960293106838426,29.4736842105264,109.9892818863887,3.459821428571414
2005-04-08,8.9,9.16,8.85,9.16,1280695.0,11.688577782856902,-0.1787265128022053,8.79473016483224,48.1595446018109,9.353076923076923,1.9005335620674682,41.05263157894738,-9.249786871271203,2.4608501118568307
2005-04-11,9.15,9.25,8.96,9.13,992984.0,11.650296414572436,-0.17042084824794834,8.81574095823895,46.094297024560085,9.321538461538463,1.900179315185974,44.210526315789416,20.276292335116324,1.670378619153679
2005-04-12,9.0,9.12,8.98,9.05,567000.0,11.54821276581386,-0.16835320965703282,8.83591131990939,40.532184856429524,9.285384615384617,1.8974775131419892,52.63157894736836,-27.101038715770418,0.22148394241418992
2005-04-13,9.06,9.33,9.05,9.2,1766702.0,11.73961960723619,-0.15284889783045053,8.855274867113016,53.23030892741451,9.246923076923078,1.8762654929075695,47.297297297297476,57.79737841479773,1.3215859030836918
2005-04-14,9.24,9.46,9.19,9.37,997729.9999999999,11.956547360848162,-0.1253985236320716,8.883758375086234,63.75566182068027,9.213076923076924,1.919812767720192,24.32432432432452,125.45435444899523,3.1938325991189336
2005-04-15,9.34,9.34,9.02,9.09,905595.0000000001,11.599254590193148,-0.12479895953211972,8.929857705079336,44.127743546075514,9.185384615384617,1.8268227078820838,62.16216216216226,3.2407407407401014,0.9999999999999984
2005-04-18,9.09,9.1,8.98,9.09,533295.0,11.599254590193148,-0.12290700521412745,8.972269088672988,44.12774354607551,9.158461538461541,1.8275853951823118,62.16216216216226,-55.403348554034295,0.9999999999999984
