,OPEN,HIGH,LOW,CLOSE,PE,MACD,SAR,RSI,BOLL,STD,WR,KDJ,CCI,ROC
2005-02-02,11.42,11.55,11.2,11.22,,-0.09434120476661967,10.939554127520001,45.43286287417315,11.413846153846155,2.3566001185141787,80.85106382978718,26.110972419608274,23.5695302935295,-0.970873786407762
2005-02-03,11.35,11.99,11.34,11.9,,-0.039211361590828275,10.954763044969601,70.09202214961829,11.406153846153845,2.5078134493469633,51.91489361702124,33.43568374073177,137.24271035518834,5.309734513274333
2005-02-04,11.94,12.2,11.72,12.02,,0.014001038180412095,10.996172523170817,72.70416575097633,11.38269230769231,2.3528021200826292,46.80851063829786,40.02095228105522,160.2894165743669,8.581752484191501
2005-02-07,11.93,12.09,11.53,11.53,,0.01644378970283178,11.068402171780567,50.914605654317924,11.33846153846154,2.470780831216085,67.65957446808511,44.39625256965453,77.03399171805688,4.155374887082195
2005-02-08,11.51,11.76,11.41,11.5,,0.015777070357687606,11.136298041473733,49.817675322305256,11.306538461538462,2.420796171066409,68.93617021276593,44.84297974927873,30.549567282157685,3.884372177055101
2005-02-09,11.55,11.62,11.14,11.47,,0.01268175382963932,11.14,48.56217723074431,11.289230769230771,2.337733137818209,70.21276595744675,40.48722014437897,-15.369668706887992,3.613369467028007
2005-02-10,11.44,11.6,11.25,11.33,,-0.00105596429153465,11.2036,42.55620259503036,11.276538461538461,2.311324715574506,76.17021276595743,32.966322863548235,-28.594046865104506,2.3486901535682003
2005-02-11,11.33,11.39,11.08,11.15,,-0.026166074337563572,11.76,35.73705856459705,11.274615384615384,2.1972885638056128,83.82978723404251,24.060881909032165,-91.01062676209068,0.7226738934056014
2005-02-14,11.3,11.35,11.11,11.16,,-0.04474332779997958,11.7464,36.41629591769105,11.278846153846153,2.1801029020576803,83.40425531914892,18.421540320307162,-84.57583547557756,0.8130081300812995
2005-02-15,11.25,11.5,11.09,11.25,,-0.051608773358283955,11.733072,42.930869206150874,11.283846153846154,2.182183442174679,79.57446808510636,17.340550689728584,-66.33100955331773,1.626016260162599
2005-02-16,11.17,11.24,10.86,10.95,,-0.08033117345828344,11.72001056,30.451169850769993,11.271538461538462,2.229445881276254,92.3404255319149,13.799173096634973,-154.74956822107154,-1.262398557258797
2005-02-17,11.08,11.08,10.44,10.5,,-0.13781645930918707,11.685610137600001,19.990956847532384,11.251923076923077,2.3271300243313666,97.76119402985073,10.411569943211203,-204.87306682229337,-4.89130434782608
2005-02-18,10.5,10.75,10.43,10.67,,-0.1677229771774531,11.610873529344001,30.77146734361665,11.248846153846156,2.307107010655226,91.07806691449814,12.956084222792436,-167.30822873082266,-4.219030520646325
2005-02-22,10.6,10.75,10.15,10.21,,-0.22593779343119635,11.516403646996482,21.40605289911896,11.223846153846154,2.4452246464664533,97.97979797979797,9.997933699548712,-170.5110451697987,-7.434270172257467
2005-02-23,10.27,10.38,10.11,10.19,,-0.270568344132208,11.379763282296834,21.071452330489386,11.18,2.2637449416702777,96.17224880382774,8.454998305291983,-149.2836599198986,-9.099018733273875
2005-02-24,10.15,10.47,10.01,10.4,,-0.2856997631243683,11.227391688421214,34.05872517257645,11.145384615384616,2.3139688619119325,82.19178082191777,14.361497751626436,-112.59830835435463,-9.090909090909085
2005-02-25,10.69,11.08,10.65,10.99,,-0.24723349865242206,11.08,57.58723429924784,11.142307692307693,2.5622949621350823,55.251141552511385,31.498269194596602,-13.757495003331151,-4.4347826086956506
